"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","facebook_I_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_clicks_P_thetas","tv_S_thetas","facebook_I_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_clicks_P_alphas","tv_S_alphas","facebook_I_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_clicks_P_gammas","tv_S_gammas","cluster","n","top_sol"
"69","5_263_2",0,0.256769677631256,0.0463274756102037,0.0513538161476895,0.0517821856382405,0.0463274756102037,0.672598435914053,0.945361338264444,0.655319775001027,0.451986265968456,0.43734082629576,0.140658141675525,0.271228155398604,0.365622922675107,0.196530165093086,0.934307813484571,0.632244051672883,0.98303384318687,0.794563271905086,0.556335236386999,0.0872827401586145,0,0.622538327156485,0.0181363288579665,8,25,FALSE
"70","5_263_4",0,0.260953441073165,0.0453871854052005,0.0517733478140601,0.0516296685420707,0.0453871854052005,0.853186985804219,0.839418526440978,0.724039850371327,0.422211110985461,0.233919601300416,0.0122535339064198,0.393459504955472,0.223408367131901,0.121843729993385,0.892301153109419,0.842952005201037,0.851545160173685,0.865209897837221,0.96057574382332,0.238871434933018,0.321568118343097,0.36582866276583,0.0207111605242617,8,25,FALSE
"71","5_263_6",0,0.264685168155176,0.0450891048391271,0.049977137035116,0.051871070920767,0.0450891048391271,0.634175297118553,0.900214594947763,0.936708173265349,0.926993076636636,0.13276347107055,0.0686443270586302,0.38459835113713,0.257584002719902,0.0575972344334988,0.924215924922063,0.471024660367559,0.802311001926411,0.765340111309635,0.702640753660219,0.379206445928514,0.296130883151204,0.548157720175047,0.0104098974256032,8,25,FALSE
"72","5_264_1",0,0.239454118210737,0.0476695772953391,0.0524727198515611,0.0531691464395847,0.0476695772953391,0.650950274393408,0.900883375399709,0.953590245077733,1,0.824581383595377,0.356906283708702,0.347847025841385,0.333647489232646,0.029739088487133,0.947478893660332,0.463503175454976,0.856639253719196,0.810551852459929,0.984442112419506,0.0990661040560805,0.457769348834696,0.244157423939576,0.0429715878044541,9,16,FALSE
"73","5_264_2",0,0.277285200380427,0.0434732434917206,0.0506123190493099,0.0518924666639782,0.0434732434917206,0.615022065724686,0.778654635474002,0.852672602142586,0.633893686886997,0.852923746595267,0.212592202104983,0.348752337535907,0.293384520433231,0.216354906388905,0.940353629810728,0.612222252552153,0.765342956952058,0.706723050232457,0,0.0199180556549367,0.377304300087112,0.265413252536985,0.019248606236425,5,7,FALSE
"74","5_264_4",0,0.287724523113823,0.0419668868556496,0.0492502864123909,0.0511197510237026,0.0419668868556496,0.367047314286466,0.920949231480346,0.911951846090054,0.528868376290098,0.221339900283727,0.173389307430927,0.204228376016981,0.248948963199397,0.134444589062577,0.82800393123885,0.71272895352482,0.79361821453813,0.681255538990504,0.991475988048626,0.773382181093476,0.412090762804499,1,0.00912769337913202,8,25,FALSE
"75","5_265_1",0,0.239480275370362,0.0466796711712594,0.0530724950350927,0.0521920698862295,0.0466796711712594,0.282310171926788,0.970918580309089,0.981005075614467,0.496768707777638,0.745832242742168,0.261418982373632,0.22545936986091,0.385487489643097,0.0573583272801436,0.962760647881658,0.701450792079452,0.830323219630934,0.830519729842751,0.953484476119505,0.136432136300478,0.141090221770641,0.0285296853974613,0.0156229738353226,3,13,FALSE
"76","5_265_5",0,0.341817095528941,0.0393437268588718,0.047045784097443,0.0515645579893007,0.0393437268588718,0.205045679175325,0.668973295693557,0.596336864179364,0.862468414995308,0.280024076184444,0.387374376990787,0.110460392160959,0.199713338295078,0.0543502331569272,0.907263639620963,0.609065813136264,0.710330040172615,0.697060750274024,0.0279203890154539,0.387698260516425,0.439634580282954,0.835547804504322,0.00207454309946002,2,11,FALSE
"77","5_265_7",0,0.342547897091347,0.0394621614730418,0.0475715455870917,0.0513622897754944,0.0394621614730418,0.61654125921847,0.794515064842387,0.859885863421518,0.68459618244623,0.758474419677605,0.110223079891778,0.171612656928499,0.152243402136342,0.0547969996719251,0.801536671060965,0.452329489054578,0.924722583410315,0.678201839030948,0.565777337645309,0.502091289648114,0.271007227939511,0.409490439216582,0.0232860309020528,4,14,FALSE
"78","5_266_3",0,0.319767185937525,0.0389189654414292,0.0467215880127278,0.0514903379590282,0.0389189654414292,0.0199351059317082,0.851455772612146,0.751537433253565,0.968540741459178,0.0286069112320295,0.149907236605825,0.0771888058477948,0.0807937036158385,0.050619358679469,0.956545959976833,0.441938983881177,0.783941400658607,0.757776740130338,0.485426371850909,1,0.53515821752089,0.322304030850199,0.0192339916365147,2,11,TRUE
"79","5_268_2",0,0.318998226940219,0.040565618240066,0.0494749348442465,0.0512275044638728,0.040565618240066,0.369228278835891,0.880797098359688,0.743647841416698,0.266143049100646,0.799862986322819,0.134138064099814,0.236625589479077,0.241502693892112,0.0700343547335184,0.988648380255334,0.735140340664591,0.913540462188805,0.669390450136055,0.340929536399658,0.12848043380797,0.129210322082866,0.149249894095901,0.0262271079596736,3,13,FALSE
"80","5_269_1",0,0.41272837868265,0.0384746397703821,0.0474231229334857,0.0512237156435872,0.0384746397703821,0.111573623605937,0.732961842428586,0.510550509342766,0.585486579392481,0.765891644446808,0.34659929593727,0.392453173448899,0.293440994337683,0.286042155885204,0.953883021686312,0.702606335022375,0.69962532432679,0.728498444970927,0.166293816413531,0.0663733555617655,0.426345133553914,0.317407756574185,0.00352362382590113,5,7,FALSE
"81","5_269_5",0,0.415715483101462,0.0384088216460734,0.046830579540063,0.0513228532764769,0.0384088216460734,0.298174614377926,0.677386109679976,0.606079668240458,0.779240201902307,0.991371222363235,0.267156988729744,0.221323313768708,0.124282825277553,0.00717612152559097,0.993423949656414,0.42588413470912,0.718778111258239,0.659152583723518,0.272162746673259,0.891542151981181,0.521720136239943,0.390936437883402,0.00619523012030921,4,14,FALSE
"82","5_270_1",0,0.279617436811083,0.0438715923456673,0.0506108113208144,0.0512988594354858,0.0438715923456673,0.548832184653058,0.923517020806274,0.692565681637149,0.481155440725959,0.416815059999703,0.097598727388606,0.272562015834626,0.214415798483592,0.0342924933941499,0.868039677890253,0.578525116294804,0.734751677273742,0.657019874970738,0.445749528515086,0.348462653763459,0.129835842650634,0.349511466952653,0.00953121897645967,8,25,FALSE
"83","5_270_2",0,0.353703032186628,0.0391663627930237,0.0473936565094287,0.0512198505846816,0.0391663627930237,0.61654125921847,0.794515064842387,0.859885863421518,0.68459618244623,0.489558889497715,0.110223079891778,0.321365267567936,0.152243402136342,0.0547969996719251,0.801536671060965,0.452329489054578,0.849332608217699,0.678201839030948,0.565777337645309,0.502091289648114,0.271007227939511,0.472980442615212,0.0144412773901509,8,25,FALSE
"84","5_270_4",0,0.246569162838072,0.0475442487512616,0.0534547173249324,0.0520288770298878,0.0475442487512616,0.511229211028204,0.906609266444369,0.8490369813559,0.503619647909686,0.152871215011582,0.00358861892519121,0.355393738663661,0.27913890552643,0.00761805869436485,0.977519572292134,0.650450391086852,0.84257594788335,0.813427332254902,0.966636749367784,0.395236896478249,0.31928944405571,0.208056530187062,0.00502307600027877,8,25,FALSE
"85","5_270_7",0,0.22454286518049,0.0472656652338411,0.0541982377726417,0.0524203074181439,0.0472656652338411,0.711805173011576,1,0.905601392940051,0.230589717528641,0.879077489336744,0.302341954658064,0.185648147650572,0.3489232406882,0.1292009407198,0.946320646419613,0.841829488684264,0.927731440183682,0.706048777416354,0.835066568542743,0.0480937444393021,0.118001540764914,0,0.0311304597723795,3,13,FALSE
